Scheme_Code	Scheme_Name	NAV	NAV_Date
119551	Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	106.5585	07-May-2025
119552	Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	117.6457	07-May-2025
119553	Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	105.4025	07-May-2025
108272	Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	149.76	07-May-2025
110282	Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	113.5096	07-May-2025
108274	Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	103.4005	07-May-2025
110490	Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	113.2876	07-May-2025
106157	Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	104.5121	07-May-2025
108273	Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	364.6005	07-May-2025
103176	Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	547.3143	07-May-2025
119550	Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	378.2207	07-May-2025
128952	Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272	14-Jun-2017
120437	Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1039.1310	07-May-2025
120438	Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2696.8986	07-May-2025
120439	Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1035.2670	07-May-2025
120436	Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1038.3592	07-May-2025
128953	Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075	18-May-2015
117447	Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1039.1303	07-May-2025
117446	Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2616.4282	07-May-2025
117449	Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1035.1634	07-May-2025
117448	Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1038.3406	07-May-2025
152164	Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW	11.0549	07-May-2025
152163	Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW	11.4299	07-May-2025
152165	Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth	11.3371	07-May-2025
152166	Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW	11.3371	07-May-2025
152162	Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth	11.4299	07-May-2025
152167	Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW	10.9824	07-May-2025
121936	BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW	12.2219	07-May-2025
127471	BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW	10.4768	07-May-2025
121934	BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW	10.4574	07-May-2025
121279	BANDHAN Banking & PSU Debt Fund - Direct Growth	25.1475	07-May-2025
121281	BANDHAN Banking & PSU Debt Fund - Direct IDCW	13.2283	07-May-2025
121935	BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW	10.4401	07-May-2025
121938	BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW	11.0660	07-May-2025
121933	BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW	11.2606	07-May-2025
127470	BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW	10.8788	07-May-2025
121931	BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW	10.6133	07-May-2025
121280	BANDHAN Banking & PSU Debt Fund - Regular Growth	24.4461	07-May-2025
121282	BANDHAN Banking & PSU Debt Fund - Regular IDCW	13.2008	07-May-2025
121932	BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW	10.6838	07-May-2025
121937	BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW	10.9642	07-May-2025
148629	Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option	10.5026	07-May-2025
148628	Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option	12.8395	07-May-2025
148630	Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option	10.6069	07-May-2025
148625	Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option	12.5680	07-May-2025
148626	Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option	10.3450	07-May-2025
148627	Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option	10.3923	07-May-2025
150505	Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	12.0967	07-May-2025
150507	Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	10.9357	07-May-2025
150503	Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	11.9998	07-May-2025
150504	Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10.8542	07-May-2025
124175	DSP Banking & PSU Debt Fund - Direct Plan - Growth	24.8595	07-May-2025
124178	DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10.4837	07-May-2025
124182	DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10.175	07-May-2025
124176	DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10.3927	07-May-2025
124177	DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly	10.4899	07-May-2025
124183	DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10.1796	07-May-2025
124172	DSP Banking & PSU Debt Fund - Regular Plan - Growth	24.0166	07-May-2025
124174	DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10.4783	07-May-2025
124173	DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10.1749	07-May-2025
124180	DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10.3815	07-May-2025
124181	DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly	10.4819	07-May-2025
124179	DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10.1792	07-May-2025
140286	Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	25.3748	07-May-2025
140288	Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	19.0372	07-May-2025
140291	Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14.5583	07-May-2025
140293	Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	10.9322	07-May-2025
140290	Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option	10.5521	07-May-2025
140283	Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	24.4992	07-May-2025
140284	Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	18.2111	07-May-2025
140294	Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.0924	07-May-2025
140292	Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1763	07-May-2025
140289	Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1472	07-May-2025
129008	Franklin India Banking & PSU Debt Fund - Direct - Growth	23.2180	07-May-2025
129006	Franklin India Banking & PSU Debt Fund - Growth	22.2360	07-May-2025
129009	Franklin India Banking and PSU Debt Fund - Direct - IDCW	11.4894	07-May-2025
129007	Franklin India Banking and PSU Debt Fund - IDCW	10.8698	07-May-2025
128628	HDFC Banking and PSU Debt Fund - Growth Option	22.8679	07-May-2025
128629	HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	23.7967	07-May-2025
128627	HDFC Banking and PSU Debt Fund - IDCW Option	10.2339	07-May-2025
128626	HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0291	07-May-2025
151108	HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1907	07-May-2025
151107	HSBC Banking and PSU Debt Fund - Direct Growth	25.335	07-May-2025
151106	HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.3572	07-May-2025
151109	HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3492	07-May-2025
151102	HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.116	07-May-2025
151104	HSBC Banking and PSU Debt Fund - Regular Growth	24.0657	07-May-2025
151105	HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6426	07-May-2025
151103	HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.322	07-May-2025
112343	ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549	16-Sep-2022
112344	ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427	16-Sep-2022
130897	ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889	24-Apr-2020
120257	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538	16-Sep-2022
120256	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	33.8495	07-May-2025
120258	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.9711	07-May-2025
120255	ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708	16-Sep-2022
130950	ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665	10-Apr-2018
131148	ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098	16-Sep-2022
112342	ICICI Prudential Banking and PSU Debt Fund - Growth	32.4898	07-May-2025
116174	ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	10.9886	07-May-2025
131147	ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261	16-Sep-2022
113247	ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122	24-Apr-2020
113242	ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631	24-Apr-2020
113243	ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305	20-Aug-2015
118234	Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1040.0599	07-May-2025
120444	Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2413.0394	07-May-2025
120443	Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1057.1464	07-May-2025
